Error processing line 1: could not convert string to float: 'Longitude'
Latitude: 37.09780863672179, Longitude: 82.71717206460788 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.07325004838756, Longitude: 82.69276391051957 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.104007539477514, Longitude: 82.72564019969974 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.11547049308637, Longitude: 82.70895299231286 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.12114388481173, Longitude: 82.71383462313052 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.100586407890304, Longitude: 82.71373499801183 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.080500164040146, Longitude: 82.70818089764273 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.059394172821726, Longitude: 82.71978722397449 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.05080081379019, Longitude: 82.71649959505649 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.03349901730835, Longitude: 82.71246477774801 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.04548141897013, Longitude: 82.67789486154949 --> Address: 尼雅乡 نىيە يېزىسى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.04407854034042, Longitude: 82.69144387769646 --> Address: G315, 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.03642144570582, Longitude: 82.7046442059279 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.03387892903871, Longitude: 82.72994898608476 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.04247109509262, Longitude: 82.72720929531975 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.07707969280552, Longitude: 82.74942569679605 --> Address: 若克雅乡 رۇكىيا, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Error processing line 41: HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /reverse?lat=37.07801519676284&lon=82.7374706825487&format=json&addressdetails=1 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002447FEC3910>, 'Connection to nominatim.openstreetmap.org timed out. (connect timeout=1)'))
Latitude: 37.07029750396761, Longitude: 82.73149317542504 --> Address: G315, 若克雅乡 رۇكىيا, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.06503572100749, Longitude: 82.73109467495011 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.06082645824369, Longitude: 82.75042194798331 --> Address: 若克雅乡 رۇكىيا, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.05790344464988, Longitude: 82.74334856455363 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.06503572100749, Longitude: 82.7414556872978 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.04551064577994, Longitude: 82.75689758070061 --> Address: 若克雅乡 رۇكىيا, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.0624633764841, Longitude: 82.75948783378753 --> Address: 若克雅乡 رۇكىيا, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.04819954226318, Longitude: 82.77582635325888 --> Address: 若克雅乡 رۇكىيا, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.03627532262221, Longitude: 82.7661627167423 --> Address: 若克雅乡 رۇكىيا, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.02423538222219, Longitude: 82.75689758070061 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.00343129650819, Longitude: 82.73986168539815 --> Address: 若克雅乡 رۇكىيا, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
