Longitude,Latitude,Level,geohash,place,name,street,suburb,address
74.298023,31.578053,3,ttsgdsw5mrtk,Amir Road,Amir Road,Amir Road,Bilal Ganj,"Amir Road, Bilal Ganj, Lahore 54500, Pakistan"
74.298717,31.604811,1,ttsgf9qxmefe,Ravi Road,Ravi Road,Ravi Road,Qasurpura,"Ravi Road, Qasurpura, Shahdara Bagh 54950, Pakistan"
74.2995,31.566351,4,ttsgddrprf66,Government Girls College,Government Girls College,Naseer-ud-Din Road,Islampura,"Government Girls College, Naseer-ud-Din Road, Islampura, Lahore 54500, Pakistan"
74.300708,31.455422,4,ttsffy215gxq,Johar Town,,,Johar Town,"Johar Town, Model Town Tehsil 54770, Pakistan"
74.301379,31.510238,3,ttsg6b287w5f,Government Pilot Secondary School For Boys,Government Pilot Secondary School For Boys,University Road,Muslim Town,"Government Pilot Secondary School For Boys, University Road, Muslim Town, Model Town Tehsil 54357, Pakistan"
74.301692,31.530866,4,ttsg6u0bdgt2,Government Central Model High School Samanabad Lahore,Government Central Model High School Samanabad Lahore,Ghazali Road,Samanabad,"Government Central Model High School Samanabad Lahore, 46 Ghazali Road, Samanabad, Lahore 54000, Pakistan"
74.301871,31.542076,5,ttsg6y0czj4f,S. Ahmed Barelvi Road,,S. Ahmed Barelvi Road,Rasool Park,"S. Ahmed Barelvi Road, Rasool Park, Lahore 54500, Pakistan"
74.302677,31.471531,3,ttsg4c1wcyem,Kips College 30-A,Kips College 30-A,Maulana Shaukat Ali Road,Faisal Town,"Kips College 30-A, 30-A Maulana Shaukat Ali Road, Faisal Town, Model Town Tehsil 55800, Pakistan"
74.302878,31.579082,5,ttsgduc9qx98,United Bank Limited,United Bank Limited,Zaildar Road,Bilal Ganj,"United Bank Limited, Zaildar Road, Bilal Ganj, Lahore 54500, Pakistan"
74.302945,31.573757,4,ttsgdgcf2nge,Islamia College Civil Lines,Islamia College Civil Lines,Sheikh Abdul Qadir Jillani Road,????? ?????,"Islamia College Civil Lines, Sheikh Abdul Qadir Jillani Road, ????? ?????, Lahore 54500, Pakistan"
74.303012,31.593423,2,ttsgdz3v18vw,Circular Road,Circular Road,Circular Road,Karim Park,"Circular Road, Karim Park, Lahore 54950, Pakistan"
74.303102,31.609152,1,ttsgff3beubr,G/28 108 Ravi Road,,108 Ravi Road,Qasurpura,"G/28 108 Ravi Road, Qasurpura, Lahore 54000, Pakistan"
74.303393,31.439134,2,ttsffg644x3k,Green Town,,,Green Town,"Green Town, Model Town Tehsil 54770, Pakistan"
74.30384,31.397072,3,ttsfdgdmhyqu,Model Town Tehsil 54700,,,,"Model Town Tehsil 54700, Pakistan"
74.30469,31.51167,3,ttsg6be0bc0b,Wahdat Road,Wahdat Road,Wahdat Road,,"Wahdat Road, Bhekewal 54357, Pakistan"
74.304825,31.486745,3,ttsg4ggpefv0,Kalim Medical Center,Kalim Medical Center,Allama Shabbir Usmani Road,Garden Town,"Kalim Medical Center, Allama Shabbir Usmani Road, Garden Town, Model Town Tehsil 55800, Pakistan"
74.305496,31.555321,5,ttsgdb7x5d1k,Lower Mall,Lower Mall,Lower Mall,Liaqatabad,"Lower Mall, Liaqatabad, Lahore 54500, Pakistan"
74.30601,31.572996,3,ttsgdgeyp911,Lower Mall,Lower Mall,Lower Mall,Anarkali,"Lower Mall, Anarkali, Lahore 54500, Pakistan"
74.3061,31.591298,2,ttsgdzh09sez,Azadi Chowk Roundabout,Azadi Chowk Roundabout,Azadi Chowk Roundabout,Karim Park,"Azadi Chowk Roundabout, Karim Park, Lahore 54950, Pakistan"
74.306346,31.581185,5,ttsgdvhjxre3,Govt Higher Secondary School for Girls,Govt Higher Secondary School for Girls,Data Darbar Road,Bilal Ganj,"Govt Higher Secondary School for Girls, Data Darbar Road, Bilal Ganj, Lahore 54500, Pakistan"
74.306659,31.585861,3,ttsgdyh2yxjp,PAK Dawakhana,PAK Dawakhana,Data Darbar Road,Bilal Ganj,"PAK Dawakhana, Data Darbar Road, Bilal Ganj, Lahore, Pakistan"
74.307331,31.467594,4,ttsg4bsbn29e,Kips College 11-A,Kips College 11-A,Maulana Shaukat Ali Road,Faisal Town,"Kips College 11-A, 11-A Maulana Shaukat Ali Road, Faisal Town, Model Town Tehsil 55800, Pakistan"
74.307442,31.571676,3,ttsgdgmn2fuz,Anarkali,,,Anarkali,"Anarkali, Lahore 54500, Pakistan"
74.307957,31.452022,3,ttsffvtmkcu8,Chaudhry Rehmat Ali Road,Chaudhry Rehmat Ali Road,Chaudhry Rehmat Ali Road,Township,"Chaudhry Rehmat Ali Road, Township, Model Town Tehsil 54700, Pakistan"
74.308024,31.578209,5,ttsgdutkqkyd,Circular Road,Circular Road,Circular Road,????? ?????,"Circular Road, ????? ?????, Lahore, Pakistan"
74.308449,31.561899,3,ttsgdctv2k7e,New Jain Temple,New Jain Temple,Lytton Road,Liaqatabad,"New Jain Temple, Lytton Road, Liaqatabad, Lahore 54500, Pakistan"
74.308762,31.476543,4,ttsg4fjupsvj,Flat 169,Flat 169,Model Town,Model Town Extension,"Flat 169, 169 N-Block (ext) Model Town, Model Town Extension, Model Town Tehsil 54000, Pakistan"
74.309725,31.572817,5,ttsgdgwsypdw,Oriental College - Punjab University,Oriental College - Punjab University,Jan Muhammad Street,????? ?????,"Oriental College - Punjab University, Jan Muhammad Street, ????? ?????, Lahore 54500, Pakistan"
74.310015,31.491489,3,ttsg4uyghygr,192 Model Town,,Model Town,Model Town,"192 Model Town, Model Town, Model Town Tehsil 54600, Pakistan"
74.310083,31.567984,5,ttsgdfyby6v9,Mall Road,Mall Road,Mall Road,Anarkali,"Mall Road, Anarkali, Lahore 54500, Pakistan"
74.310754,31.585704,5,ttsgdyp2n441,Tarranum Chowk,Tarranum Chowk,Tibbi Bazaar,Walled City of Lahore,"Tarranum Chowk, Tibbi Bazaar, Walled City of Lahore, Walled City, Pakistan"
74.311224,31.570177,5,ttsgdgpv9583,Bashir p/s,Bashir p/s,Anarkali Road,Anarkali,"Bashir p/s, Anarkali Road, Anarkali, Lahore 54500, Pakistan"
74.312029,31.504152,3,ttsg5p0kgz8u,Khayaban-e-Jamia Punjab,Khayaban-e-Jamia Punjab,Khayaban-e-Jamia Punjab,Muslim Town,"Khayaban-e-Jamia Punjab, Muslim Town, Model Town Tehsil 54357, Pakistan"
74.312969,31.574808,5,ttsgeh109dvs,Aibak Road,,Aibak Road,Anårkali,"Aibak Road, Anårkali, Lahore 54500, Pakistan"
74.313148,31.576397,5,ttsgeh31vg50,Lohari Chowk,Lohari Chowk,Anarkali Road,Anarkali,"Lohari Chowk, Anarkali Road, Anarkali, Lahore 54500, Pakistan"
