Longitude,Latitude,Level,geohash,place,name,street,suburb,address
74.368456,31.47171,4,ttsgh332n858,St 31 Sec W Ph 3,St 31 Sec W Ph 3,St 31 Sec W Ph 3,Model Colony,"St 31 Sec W Ph 3, Model Colony, Amar Sidhu 54791, Pakistan"
74.368813,31.601209,3,ttsgu2cdquqk,China Scheme,,,China Scheme,"China Scheme, Begampura 54840, Pakistan"
74.369082,31.585727,3,ttsgsq1bjnnw,Baghbanpura,,,Baghbanpura,"Baghbanpura, Begampura 54840, Pakistan"
74.369171,31.529434,4,ttsgk7cbr296,Shami Road (Sir Hugh Rose Road),Shami Road (Sir Hugh Rose Road),Shami Road (Sir Hugh Rose Road),Lahore Cantonment,"Shami Road (Sir Hugh Rose Road), Lahore Cantonment, PB 54660, Pakistan"
74.372841,31.461239,4,ttsfurkehb17,Punjab Cooperative Housing Society,,,Punjab Cooperative Housing Society,"Punjab Cooperative Housing Society, Model Town Tehsil 54791, Pakistan"
74.374541,31.465759,3,ttsgh2jvk6t7,Sec X Y Rd Ph 3,Sec X Y Rd Ph 3,Sec X Y Rd Ph 3,Qadri Colony,"Sec X Y Rd Ph 3, Qadri Colony, Charr 54791, Pakistan"
74.374631,31.4948,3,ttsghmmyw820,Super Town,,,Super Town,"Super Town, Amar Sidhu 05499, Pakistan"
74.376241,31.455512,3,ttsfuqr1sh3h,Shanghai Road,Shanghai Road,Shanghai Road,Punjab Cooperative Housing Society,"Shanghai Road, Punjab Cooperative Housing Society, Kamahan 04200, Pakistan"
74.377405,31.434033,1,ttsfu6rux0kz,DHA Phase V,,,DHA Phase V,"DHA Phase V, Kamahan 04200, Pakistan"
74.377673,31.47435,3,ttsgh98pmkhv,Eden Cottages,,,Eden Cottages,"Eden Cottages, Charr 54791, Pakistan"
74.377942,31.500886,3,ttsghw83gwtn,Walton Road,Walton Road,Walton Road,Cavalry Ground,"Walton Road, Cavalry Ground, Lahore 05499, Pakistan"
74.3783,31.505808,2,ttsghx2wsh20,Tufail Road,Tufail Road,Tufail Road,Askari Flats,"Tufail Road, Askari Flats, Lahore 05499, Pakistan"
74.379374,31.521917,3,ttsgkd3kmp0y,Lahore Cantonment,,,Lahore Cantonment,"Lahore Cantonment, PB 05499, Pakistan"
74.379418,31.525989,2,ttsgke1knn61,Garrison Boys High School,Garrison Boys High School,Asad Jan Road (Jhelum Road),Lahore Cantonment,"Garrison Boys High School, Asad Jan Road (Jhelum Road), Lahore Cantonment, Lahore 54660, Pakistan"
74.379642,31.539816,3,ttsgkt9serc4,Tufail Road (Wellington Road),,Tufail Road (Wellington Road),Rose Lane,"Tufail Road (Wellington Road), Rose Lane, Lahore, Pakistan"
74.380269,31.529166,4,ttsgkedn9ys1,Corps Commander House,Corps Commander House,Diagonal Road,Lahore Cantonment,"Corps Commander House, Diagonal Road, Lahore Cantonment, Lahore 05499, Pakistan"
74.380806,31.562279,2,ttsgs9drw7k8,Ramgarh,,,Ramgarh,"Ramgarh, Begampura 54840, Pakistan"
74.380806,31.549929,4,ttsgkx6rwmh8,Zarar Shaheed Road,Zarar Shaheed Road,Zarar Shaheed Road,Saddar,"Zarar Shaheed Road, Saddar, PB 54840, Pakistan"
74.381343,31.5834,4,ttsgstdfduky,Shalimar Link Road,Shalimar Link Road,Shalimar Link Road,Sahowari,"Shalimar Link Road, Sahowari, Kotli Abdur Rahman 54840, Pakistan"
74.381701,31.476096,3,ttsghd51e1rz,Liqat Ali Road,Liqat Ali Road,Liqat Ali Road,Fort Villa,"Liqat Ali Road, Fort Villa, Charr 54791, Pakistan"
74.381701,31.580626,3,ttsgst547prc,Sahowari,,,Sahowari,"Sahowari, Kotli Abdur Rahman 54840, Pakistan"
74.384117,31.506166,2,ttsghxsbewcx,Askari Flats,,,Askari Flats,"Askari Flats, PB 05499, Pakistan"
74.384565,31.496142,1,ttsghttnmfrr,Askari Flats,,,Askari Flats,"Askari Flats, PB 05499, Pakistan"
74.384833,31.461418,3,ttsfuxmkh1rx,Sec GG FF Rd Ph 4,Sec GG FF Rd Ph 4,Sec GG FF Rd Ph 4,Sec FF Ph 4,"Sec GG FF Rd Ph 4, Sec FF Ph 4, Model Town Tehsil 54792, Pakistan"
74.39414,31.451127,5,ttsfuvs0j4gt,eHaus Coworking Space,eHaus Coworking Space,Lahore Ring Road,Defence,"eHaus Coworking Space, 148, Block A, Bankers Town Lahore Ring Road, Defence, Keer 54792, Pakistan"
74.39602,31.483434,4,ttsghgms2ct0,DHA Wild Bears Rugby Stadium,DHA Wild Bears Rugby Stadium,St 149 Sec H Comm Ph 1,Nishat Colony,"DHA Wild Bears Rugby Stadium, St 149 Sec H Comm Ph 1, Nishat Colony, Keer 54810, Pakistan"
74.401568,31.601209,4,ttsgv0cd6hqk,Danish Traders,Danish Traders,Sultan Mehmood Road,Mehmood Booti,"Danish Traders, 77 Sultan Mehmood Road, Mehmood Booti, Begampura 54000, Pakistan"
74.402374,31.609711,1,ttsgv465uvr0,Lahore Eastern Bypass,Lahore Eastern Bypass,Lahore Eastern Bypass,Mehmood Booti,"Lahore Eastern Bypass, Mehmood Booti, Shalimar Tehsil 54840, Pakistan"
74.402553,31.475201,2,ttsgj1fk34sm,Rehman Villas,,,Rehman Villas,"Rehman Villas, Chung Khurad 54792, Pakistan"
74.404522,31.587159,3,ttsgtn78x10s,Daroghawala,Daroghawala,Grand Trunk Road,Qalander Pura,"Daroghawala, Grand Trunk Road, Qalander Pura, Wara Sittar 54850, Pakistan"
74.40658,31.471889,2,ttsgj1m1ncrk,Khayaban-e-Jinnah,Khayaban-e-Jinnah,Khayaban-e-Jinnah,Rehman Villas,"Khayaban-e-Jinnah, Rehman Villas, Chung Khurad 54792, Pakistan"
74.407923,31.548318,3,ttsgmpnnq28q,Zarar Shaheed Road,Zarar Shaheed Road,Zarar Shaheed Road,Aziz Bhatti Town,"Zarar Shaheed Road, Aziz Bhatti Town, Gujjar Pura 54840, Pakistan"
74.41195,31.487148,4,ttsgjk11ujg7,Defence Road,,Defence Road,Defense Housing Authority,"Defence Road, Defense Housing Authority, Lahore 54000, Pakistan"
74.413919,31.554403,3,ttsgt2699zpk,Harbunspura Road,Harbunspura Road,Harbunspura Road,Taj Bagh,"Harbunspura Road, Taj Bagh, Haji Pura 54850, Pakistan"
74.417499,31.541069,4,ttsgmmvhj3ku,Askari X,,,Askari X,"Askari X, Lahore District, Pakistan"
74.418796,31.484687,3,ttsgj7w5eeh6,Al Hassan Marble Factory,Al Hassan Marble Factory,Bedian Road,Rehman Villas,"Al Hassan Marble Factory, Bedian Road, Rehman Villas, Isma'il Pura 54000, Pakistan"
74.423853,31.610964,1,ttsgvd9g1qyd,Lakhoder,,,Lakhoder,"Lakhoder, Zahra Pir 54850, Pakistan"
74.423853,31.562637,4,ttsgt9cc9myx,Harbunspura Road,Harbunspura Road,Harbunspura Road,Taj Bagh,"Harbunspura Road, Taj Bagh, Haji Pura 54850, Pakistan"
74.424479,31.511357,1,ttsgm86qbn9g,Askari X,,,Askari X,"Askari X, Derh Pindi 54000, Pakistan"
74.425374,31.499364,1,ttsgjw6chgj4,Service Road RRL,Service Road RRL,Service Road RRL,,"Service Road RRL, Tibba 54000, Pakistan"
74.427075,31.539905,2,ttsgmtsjk890,Abdullah Gul Interchange,Abdullah Gul Interchange,Lahore Ring Road,Askari X,"Abdullah Gul Interchange, Lahore Ring Road, Askari X, Derh Pindi 53200, Pakistan"
74.43316,31.46643,3,ttsgjb294rdz,Shabbir Sharif Road,Shabbir Sharif Road,Shabbir Sharif Road,,"Shabbir Sharif Road, Chachowali 54100, Pakistan"
74.43495,31.573287,2,ttsgtg9zsp38,UBD Canal Bank Road,UBD Canal Bank Road,UBD Canal Bank Road,Qalander Pura,"UBD Canal Bank Road, Qalander Pura, Kotli Ghazi 54850, Pakistan"
74.435845,31.588948,1,ttsgtyddbyuc,Qalander Pura,,,Qalander Pura,"Qalander Pura, Kotli Ghazi 54850, Pakistan"
74.445779,31.476096,1,ttsgn41c83kp,Phase 6 Main Bulevard,Phase 6 Main Bulevard,Phase 6 Main Bulevard,,"Phase 6 Main Bulevard, Chachowali 54100, Pakistan"
74.452223,31.451395,1,ttsfyjw3wsbz,Mota Singhwala 54100,,,,"Mota Singhwala 54100, Pakistan"
